text,label,weight
Our packaging is FSC certified and sourced from sustainable forests,certified sustainable product,0.1
Our materials meet OEKO-TEX Standard 100 certification,certified sustainable product,0.11
This product is FSC certified wood from responsibly managed forests,certified sustainable product,0.14
We aim to be a green company focused on sustainability,vague environmental claim,0.96
Designed with the planet in mind for a cleaner future,vague environmental claim,0.85
This product is certified by LEED standards for environmental design,certified sustainable product,0.07
We reduced carbon emissions by 41% compared to baseline,specific measurable claim,0.36
We are a B Corp certified company meeting social and environmental standards,certified sustainable product,0.09
We comply with Rainforest Alliance certification standards,certified sustainable product,0.06
We aim to be a green company focused on sustainability,vague environmental claim,0.81
We follow sustainable methods to reduce environmental impact,vague environmental claim,0.98
Our factory cut waste generation by 48% last year,specific measurable claim,0.3
Our packaging is FSC certified and sourced from sustainable forests,certified sustainable product,0.11
We comply with Rainforest Alliance certification standards,certified sustainable product,0.05
We are committed to sustainability and green practices,vague environmental claim,0.85
We improved energy efficiency by 83% across operations,specific measurable claim,0.37
All ingredients are USDA Organic certified,certified sustainable product,0.05
We follow sustainable methods to reduce environmental impact,vague environmental claim,0.85
Our materials meet OEKO-TEX Standard 100 certification,certified sustainable product,0.11
This product is certified by LEED standards for environmental design,certified sustainable product,0.11
We are committed to sustainability and green practices,vague environmental claim,0.8
Our packaging is environmentally friendly and reusable,vague environmental claim,0.9
This product is natural and safe for the environment,vague environmental claim,0.99
This product carries Fair Trade certification for ethical sourcing,certified sustainable product,0.1
Our materials are sourced responsibly for eco-conscious living,vague environmental claim,0.84
This product carries Fair Trade certification for ethical sourcing,certified sustainable product,0.06
This item includes 24% biodegradable components,specific measurable claim,0.49
Our materials meet OEKO-TEX Standard 100 certification,certified sustainable product,0.15
This product is made of 51% plant-based materials,specific measurable claim,0.37
Our brand promotes environmentally responsible solutions,vague environmental claim,1.0
We care about the planet and use clean production methods,vague environmental claim,0.87
Our packaging contains 53% recycled plastic,specific measurable claim,0.46
Our supply chain emissions dropped by 77% over two years,specific measurable claim,0.32
This product is certified by LEED standards for environmental design,certified sustainable product,0.08
We improved energy efficiency by 24% across operations,specific measurable claim,0.47
This product is natural and safe for the environment,vague environmental claim,0.86
We improved energy efficiency by 80% across operations,specific measurable claim,0.27
This product is natural and safe for the environment,vague environmental claim,0.97
The product uses 62% recycled aluminum,specific measurable claim,0.35
Our operations are certified carbon neutral by a third party,certified sustainable product,0.07
This product is natural and safe for the environment,vague environmental claim,0.96
We care about the planet and use clean production methods,vague environmental claim,0.86
All ingredients are USDA Organic certified,certified sustainable product,0.08
Our factory cut waste generation by 68% last year,specific measurable claim,0.33
Our supply chain emissions dropped by 32% over two years,specific measurable claim,0.39
This product is natural and safe for the environment,vague environmental claim,0.89
We aim to be a green company focused on sustainability,vague environmental claim,0.88
We reduced carbon emissions by 68% compared to baseline,specific measurable claim,0.42
We lowered greenhouse gas emissions by 16% since baseline,specific measurable claim,0.32
This product is natural and safe for the environment,vague environmental claim,0.83
Our supply chain emissions dropped by 79% over two years,specific measurable claim,0.47
Designed with the planet in mind for a cleaner future,vague environmental claim,0.88
We improved energy efficiency by 21% across operations,specific measurable claim,0.49
The product uses 68% recycled aluminum,specific measurable claim,0.33
We care about the planet and use clean production methods,vague environmental claim,0.85
The product uses 80% recycled aluminum,specific measurable claim,0.34
This product carries Fair Trade certification for ethical sourcing,certified sustainable product,0.07
Our products are eco-friendly and better for the environment,vague environmental claim,0.92
We are committed to sustainability and green practices,vague environmental claim,0.81
Our materials are sourced responsibly for eco-conscious living,vague environmental claim,0.88
We decreased water usage by 29% in manufacturing,specific measurable claim,0.27
This product is made of 38% plant-based materials,specific measurable claim,0.48
This product carries Fair Trade certification for ethical sourcing,certified sustainable product,0.13
This product carries Fair Trade certification for ethical sourcing,certified sustainable product,0.12
Designed with the planet in mind for a cleaner future,vague environmental claim,0.9
This product is FSC certified wood from responsibly managed forests,certified sustainable product,0.11
This product is natural and safe for the environment,vague environmental claim,0.86
Our cotton is GOTS certified organic cotton,certified sustainable product,0.06
Our cotton is GOTS certified organic cotton,certified sustainable product,0.06
We are committed to sustainability and green practices,vague environmental claim,0.94
Our factory cut waste generation by 73% last year,specific measurable claim,0.42
This product is natural and safe for the environment,vague environmental claim,0.8
We lowered greenhouse gas emissions by 52% since baseline,specific measurable claim,0.44
We follow sustainable methods to reduce environmental impact,vague environmental claim,0.97
We care about the planet and use clean production methods,vague environmental claim,0.84
Our materials meet OEKO-TEX Standard 100 certification,certified sustainable product,0.13
We are a B Corp certified company meeting social and environmental standards,certified sustainable product,0.07
We are committed to sustainability and green practices,vague environmental claim,0.88
All ingredients are USDA Organic certified,certified sustainable product,0.07
We decreased water usage by 67% in manufacturing,specific measurable claim,0.44
This product is natural and safe for the environment,vague environmental claim,0.82
We aim to be a green company focused on sustainability,vague environmental claim,0.98
This product carries Fair Trade certification for ethical sourcing,certified sustainable product,0.13
Our products are eco-friendly and better for the environment,vague environmental claim,0.85
This product is FSC certified wood from responsibly managed forests,certified sustainable product,0.08
Designed with the planet in mind for a cleaner future,vague environmental claim,0.88
Our supply chain emissions dropped by 90% over two years,specific measurable claim,0.3
This item includes 29% biodegradable components,specific measurable claim,0.49
This product is FSC certified wood from responsibly managed forests,certified sustainable product,0.1
We decreased water usage by 29% in manufacturing,specific measurable claim,0.35
Our supply chain emissions dropped by 43% over two years,specific measurable claim,0.42
Our factory cut waste generation by 41% last year,specific measurable claim,0.44
This product is FSC certified wood from responsibly managed forests,certified sustainable product,0.06
This product is certified by LEED standards for environmental design,certified sustainable product,0.1
Our operations are certified carbon neutral by a third party,certified sustainable product,0.07
Our materials meet OEKO-TEX Standard 100 certification,certified sustainable product,0.14
This product is made of 61% plant-based materials,specific measurable claim,0.46
We aim to be a green company focused on sustainability,vague environmental claim,0.84
This product carries Fair Trade certification for ethical sourcing,certified sustainable product,0.12
We care about the planet and use clean production methods,vague environmental claim,0.82
We are committed to sustainability and green practices,vague environmental claim,0.84
We comply with Rainforest Alliance certification standards,certified sustainable product,0.08
All ingredients are USDA Organic certified,certified sustainable product,0.11
Our materials are sourced responsibly for eco-conscious living,vague environmental claim,0.85
We are committed to sustainability and green practices,vague environmental claim,0.82
We are a B Corp certified company meeting social and environmental standards,certified sustainable product,0.09
Our packaging is FSC certified and sourced from sustainable forests,certified sustainable product,0.12
We are committed to sustainability and green practices,vague environmental claim,0.89
We are a B Corp certified company meeting social and environmental standards,certified sustainable product,0.07
The product uses 21% recycled aluminum,specific measurable claim,0.31
All ingredients are USDA Organic certified,certified sustainable product,0.12
Our supply chain emissions dropped by 82% over two years,specific measurable claim,0.42
We reduced carbon emissions by 28% compared to baseline,specific measurable claim,0.26
We follow sustainable methods to reduce environmental impact,vague environmental claim,0.99
Designed with the planet in mind for a cleaner future,vague environmental claim,0.94
All ingredients are USDA Organic certified,certified sustainable product,0.11
We comply with Rainforest Alliance certification standards,certified sustainable product,0.1
The product uses 16% recycled aluminum,specific measurable claim,0.31
Our cotton is GOTS certified organic cotton,certified sustainable product,0.06
We follow sustainable methods to reduce environmental impact,vague environmental claim,0.9
Our products are eco-friendly and better for the environment,vague environmental claim,0.86
Our packaging is FSC certified and sourced from sustainable forests,certified sustainable product,0.12
Our materials meet OEKO-TEX Standard 100 certification,certified sustainable product,0.08
We are committed to sustainability and green practices,vague environmental claim,0.97
All ingredients are USDA Organic certified,certified sustainable product,0.14
Our factory cut waste generation by 66% last year,specific measurable claim,0.3
Our brand promotes environmentally responsible solutions,vague environmental claim,0.91
Our materials are sourced responsibly for eco-conscious living,vague environmental claim,0.86
This product carries Fair Trade certification for ethical sourcing,certified sustainable product,0.1
We are committed to sustainability and green practices,vague environmental claim,0.87
Our materials meet OEKO-TEX Standard 100 certification,certified sustainable product,0.14
All ingredients are USDA Organic certified,certified sustainable product,0.13
This product is FSC certified wood from responsibly managed forests,certified sustainable product,0.1
We are committed to sustainability and green practices,vague environmental claim,0.82
Our supply chain emissions dropped by 49% over two years,specific measurable claim,0.41
Our supply chain emissions dropped by 44% over two years,specific measurable claim,0.26
This product is certified by LEED standards for environmental design,certified sustainable product,0.1
This product is certified by LEED standards for environmental design,certified sustainable product,0.14
Our cotton is GOTS certified organic cotton,certified sustainable product,0.08
We are a B Corp certified company meeting social and environmental standards,certified sustainable product,0.06
All ingredients are USDA Organic certified,certified sustainable product,0.05
This product is FSC certified wood from responsibly managed forests,certified sustainable product,0.11
We improved energy efficiency by 63% across operations,specific measurable claim,0.42
This product is made of 56% plant-based materials,specific measurable claim,0.33
Our brand promotes environmentally responsible solutions,vague environmental claim,0.84
We reduced carbon emissions by 31% compared to baseline,specific measurable claim,0.32
We reduced carbon emissions by 72% compared to baseline,specific measurable claim,0.36
This item includes 62% biodegradable components,specific measurable claim,0.39
We are a B Corp certified company meeting social and environmental standards,certified sustainable product,0.15
We reduced carbon emissions by 66% compared to baseline,specific measurable claim,0.4
We decreased water usage by 72% in manufacturing,specific measurable claim,0.32
This product is FSC certified wood from responsibly managed forests,certified sustainable product,0.12
The product uses 43% recycled aluminum,specific measurable claim,0.41
Our products are eco-friendly and better for the environment,vague environmental claim,0.93
Our cotton is GOTS certified organic cotton,certified sustainable product,0.09
This product is FSC certified wood from responsibly managed forests,certified sustainable product,0.14
This product is FSC certified wood from responsibly managed forests,certified sustainable product,0.08
We reduced carbon emissions by 72% compared to baseline,specific measurable claim,0.26
This product is FSC certified wood from responsibly managed forests,certified sustainable product,0.08
Our brand promotes environmentally responsible solutions,vague environmental claim,0.84
We care about the planet and use clean production methods,vague environmental claim,0.88
Our factory cut waste generation by 25% last year,specific measurable claim,0.38
Our brand promotes environmentally responsible solutions,vague environmental claim,0.83
Our factory cut waste generation by 90% last year,specific measurable claim,0.5
Our operations are certified carbon neutral by a third party,certified sustainable product,0.08
Our cotton is GOTS certified organic cotton,certified sustainable product,0.05
Our materials meet OEKO-TEX Standard 100 certification,certified sustainable product,0.1
We follow sustainable methods to reduce environmental impact,vague environmental claim,0.89
This product is made of 78% plant-based materials,specific measurable claim,0.32
We are a B Corp certified company meeting social and environmental standards,certified sustainable product,0.13
This product is natural and safe for the environment,vague environmental claim,0.81
We comply with Rainforest Alliance certification standards,certified sustainable product,0.14
This product is made of 57% plant-based materials,specific measurable claim,0.4
We decreased water usage by 83% in manufacturing,specific measurable claim,0.31
Our supply chain emissions dropped by 26% over two years,specific measurable claim,0.38
This product is certified by LEED standards for environmental design,certified sustainable product,0.08
This product is FSC certified wood from responsibly managed forests,certified sustainable product,0.09
This item includes 84% biodegradable components,specific measurable claim,0.47
This product is FSC certified wood from responsibly managed forests,certified sustainable product,0.06
Our packaging is FSC certified and sourced from sustainable forests,certified sustainable product,0.08
This product is made of 24% plant-based materials,specific measurable claim,0.49
This item includes 90% biodegradable components,specific measurable claim,0.47
The product uses 64% recycled aluminum,specific measurable claim,0.27
This product carries Fair Trade certification for ethical sourcing,certified sustainable product,0.06
This product carries Fair Trade certification for ethical sourcing,certified sustainable product,0.06
Our brand promotes environmentally responsible solutions,vague environmental claim,0.93
This product carries Fair Trade certification for ethical sourcing,certified sustainable product,0.13
This product is natural and safe for the environment,vague environmental claim,0.92
Our products are eco-friendly and better for the environment,vague environmental claim,0.84
We care about the planet and use clean production methods,vague environmental claim,0.89
This product carries Fair Trade certification for ethical sourcing,certified sustainable product,0.07
We are a B Corp certified company meeting social and environmental standards,certified sustainable product,0.11
Our brand promotes environmentally responsible solutions,vague environmental claim,0.94
We reduced carbon emissions by 71% compared to baseline,specific measurable claim,0.46
This item includes 70% biodegradable components,specific measurable claim,0.31
We reduced carbon emissions by 39% compared to baseline,specific measurable claim,0.43
Our packaging is environmentally friendly and reusable,vague environmental claim,0.83
This item includes 45% biodegradable components,specific measurable claim,0.27
Our factory cut waste generation by 71% last year,specific measurable claim,0.43
Our supply chain emissions dropped by 49% over two years,specific measurable claim,0.44
We are committed to sustainability and green practices,vague environmental claim,0.92
We are committed to sustainability and green practices,vague environmental claim,0.95
We care about the planet and use clean production methods,vague environmental claim,0.81
We aim to be a green company focused on sustainability,vague environmental claim,0.99
We lowered greenhouse gas emissions by 67% since baseline,specific measurable claim,0.37
We decreased water usage by 90% in manufacturing,specific measurable claim,0.28
We aim to be a green company focused on sustainability,vague environmental claim,0.92
Our operations are certified carbon neutral by a third party,certified sustainable product,0.14
We comply with Rainforest Alliance certification standards,certified sustainable product,0.06
We are committed to sustainability and green practices,vague environmental claim,0.97
Our materials meet OEKO-TEX Standard 100 certification,certified sustainable product,0.15
Our cotton is GOTS certified organic cotton,certified sustainable product,0.07
We follow sustainable methods to reduce environmental impact,vague environmental claim,0.94
Our materials are sourced responsibly for eco-conscious living,vague environmental claim,1.0
Our cotton is GOTS certified organic cotton,certified sustainable product,0.13
Our operations are certified carbon neutral by a third party,certified sustainable product,0.05
Our materials are sourced responsibly for eco-conscious living,vague environmental claim,0.9
Our materials are sourced responsibly for eco-conscious living,vague environmental claim,0.89
Our packaging contains 53% recycled plastic,specific measurable claim,0.37
We care about the planet and use clean production methods,vague environmental claim,0.92
Our packaging contains 18% recycled plastic,specific measurable claim,0.44
This item includes 57% biodegradable components,specific measurable claim,0.39
Our cotton is GOTS certified organic cotton,certified sustainable product,0.14
Our packaging is environmentally friendly and reusable,vague environmental claim,0.91
Designed with the planet in mind for a cleaner future,vague environmental claim,0.93
We are committed to sustainability and green practices,vague environmental claim,0.93
Our packaging contains 84% recycled plastic,specific measurable claim,0.46
We are committed to sustainability and green practices,vague environmental claim,0.88
We care about the planet and use clean production methods,vague environmental claim,0.84
We reduced carbon emissions by 50% compared to baseline,specific measurable claim,0.44
This product is certified by LEED standards for environmental design,certified sustainable product,0.08
We comply with Rainforest Alliance certification standards,certified sustainable product,0.15
This product carries Fair Trade certification for ethical sourcing,certified sustainable product,0.1
This product is FSC certified wood from responsibly managed forests,certified sustainable product,0.08
Our products are eco-friendly and better for the environment,vague environmental claim,0.97
Our brand promotes environmentally responsible solutions,vague environmental claim,0.83
Our supply chain emissions dropped by 60% over two years,specific measurable claim,0.39
We aim to be a green company focused on sustainability,vague environmental claim,0.85
Our packaging contains 68% recycled plastic,specific measurable claim,0.43
Our packaging contains 72% recycled plastic,specific measurable claim,0.35
Our packaging is FSC certified and sourced from sustainable forests,certified sustainable product,0.05
Our materials are sourced responsibly for eco-conscious living,vague environmental claim,0.92
Our packaging is FSC certified and sourced from sustainable forests,certified sustainable product,0.06
This item includes 58% biodegradable components,specific measurable claim,0.48
We follow sustainable methods to reduce environmental impact,vague environmental claim,0.83
Our packaging is FSC certified and sourced from sustainable forests,certified sustainable product,0.08
We care about the planet and use clean production methods,vague environmental claim,0.95
Our products are eco-friendly and better for the environment,vague environmental claim,0.95
We improved energy efficiency by 39% across operations,specific measurable claim,0.26
This product is certified by LEED standards for environmental design,certified sustainable product,0.11
We care about the planet and use clean production methods,vague environmental claim,0.82
We reduced carbon emissions by 75% compared to baseline,specific measurable claim,0.35
Our packaging is FSC certified and sourced from sustainable forests,certified sustainable product,0.1
We are committed to sustainability and green practices,vague environmental claim,0.95
Our factory cut waste generation by 85% last year,specific measurable claim,0.33
This item includes 63% biodegradable components,specific measurable claim,0.5
We aim to be a green company focused on sustainability,vague environmental claim,0.82
We care about the planet and use clean production methods,vague environmental claim,0.83
Our materials meet OEKO-TEX Standard 100 certification,certified sustainable product,0.14
We lowered greenhouse gas emissions by 47% since baseline,specific measurable claim,0.28
Our materials meet OEKO-TEX Standard 100 certification,certified sustainable product,0.09
This product is natural and safe for the environment,vague environmental claim,0.84
Our materials meet OEKO-TEX Standard 100 certification,certified sustainable product,0.08
This item includes 59% biodegradable components,specific measurable claim,0.35
We reduced carbon emissions by 80% compared to baseline,specific measurable claim,0.29
Our packaging is FSC certified and sourced from sustainable forests,certified sustainable product,0.15
We reduced carbon emissions by 35% compared to baseline,specific measurable claim,0.4
Our brand promotes environmentally responsible solutions,vague environmental claim,0.97
Our packaging is FSC certified and sourced from sustainable forests,certified sustainable product,0.1
Our brand promotes environmentally responsible solutions,vague environmental claim,0.94
This product is made of 35% plant-based materials,specific measurable claim,0.26
The product uses 86% recycled aluminum,specific measurable claim,0.49
Designed with the planet in mind for a cleaner future,vague environmental claim,0.85
We care about the planet and use clean production methods,vague environmental claim,0.8
We aim to be a green company focused on sustainability,vague environmental claim,0.91
This product carries Fair Trade certification for ethical sourcing,certified sustainable product,0.07
All ingredients are USDA Organic certified,certified sustainable product,0.14
Designed with the planet in mind for a cleaner future,vague environmental claim,0.93
We improved energy efficiency by 88% across operations,specific measurable claim,0.4
This product carries Fair Trade certification for ethical sourcing,certified sustainable product,0.09
This item includes 19% biodegradable components,specific measurable claim,0.35
Our supply chain emissions dropped by 62% over two years,specific measurable claim,0.42
Our factory cut waste generation by 40% last year,specific measurable claim,0.31
Our operations are certified carbon neutral by a third party,certified sustainable product,0.09
Our materials are sourced responsibly for eco-conscious living,vague environmental claim,0.91
This item includes 37% biodegradable components,specific measurable claim,0.42
Our factory cut waste generation by 41% last year,specific measurable claim,0.42
